Date,Close,High,Low,Open,Volume
2014-09-17,1.0956084,0.85070306,0.9140659,0.5678658,0.27977476
2014-09-18,1.1037526,0.857547,0.9169505,0.5721576,0.284121
2014-09-19,1.1145881,0.86650664,0.92073464,0.5776536,0.28973928
2014-09-20,1.1158036,0.86737233,0.9210892,0.5781624,0.29023567
2014-09-21,1.1165171,0.86800766,0.9213883,0.57848394,0.29063985
2014-09-22,1.1172215,0.8685437,0.9216115,0.5787835,0.29095545
2014-09-23,1.1102625,0.8627357,0.9190974,0.57536745,0.28733006
2014-09-24,1.1071177,0.8602517,0.9180663,0.5737362,0.28576615
2014-09-25,1.1115576,0.8639125,0.9196391,0.5759646,0.2880639
2014-09-26,1.1149321,0.8666785,0.9208438,0.57764596,0.28980035
2014-09-27,1.1171762,0.8685117,0.9216462,0.5787378,0.29094365
2014-09-28,1.1220119,0.8725932,0.92336494,0.58130294,0.29353735
2014-09-29,1.1257867,0.8756601,0.9245932,0.58317244,0.29542527
2014-09-30,1.1241069,0.874232,0.9239829,0.5823118,0.29452804
2014-10-01,1.122859,0.8732312,0.92359155,0.58166057,0.2939033
2014-10-02,1.1252371,0.87520623,0.9244576,0.58286196,0.29515144
2014-10-03,1.1293961,0.87868905,0.9259005,0.5850382,0.2973471
2014-10-04,1.1374015,0.8853989,0.9286957,0.5892381,0.30158612
2014-10-05,1.1459161,0.89241743,0.93150383,0.593651,0.30599126
2014-10-06,1.1443229,0.89104027,0.9309244,0.59278005,0.3050969
2014-10-07,1.142253,0.8892746,0.93029195,0.5915579,0.30397403
2014-10-08,1.1380957,0.885812,0.92880744,0.5894725,0.30180246
2014-10-09,1.1306602,0.87975264,0.92609483,0.58587325,0.29799053
2014-10-10,1.130669,0.8797242,0.9262748,0.5857111,0.29798648
2014-10-11,1.1317114,0.88051033,0.9267521,0.5860824,0.29847667
2014-10-12,1.1288284,0.8780839,0.92572075,0.58463323,0.29696065
2014-10-13,1.1233834,0.87363034,0.9237445,0.58196914,0.294165
2014-10-14,1.117834,0.86906654,0.92177564,0.5791728,0.2912843
2014-10-15,1.1189235,0.8699792,0.92222136,0.57967067,0.29187033
2014-10-16,1.1222504,0.8727577,0.9234143,0.5814069,0.29363355
2014-10-17,1.1244255,0.874481,0.9241889,0.5823858,0.2946926
2014-10-18,1.1223446,0.87274057,0.9234732,0.58133173,0.29360285
2014-10-19,1.1214356,0.8720074,0.923176,0.5808479,0.2931386
2014-10-20,1.1232172,0.8735145,0.9237669,0.5818078,0.2940907
2014-10-21,1.1229949,0.8732984,0.92368746,0.5816738,0.29394546
2014-10-22,1.1233044,0.8735686,0.9238057,0.58181757,0.29411468
2014-10-23,1.128245,0.87776214,0.9255474,0.58448094,0.29678425
2014-10-24,1.1328002,0.8814201,0.92712575,0.58664566,0.29904667
2014-10-25,1.135132,0.8833895,0.9279592,0.5878714,0.3002984
2014-10-26,1.1354336,0.8835662,0.92806786,0.5879579,0.30039653
2014-10-27,1.1345153,0.8828377,0.9277374,0.58750135,0.2999358
2014-10-28,1.1338903,0.88229084,0.9275303,0.587149,0.29958817
2014-10-29,1.1371669,0.88511205,0.92870075,0.5889431,0.30139142
2014-10-30,1.1387149,0.88630986,0.92913145,0.589692,0.30210856
2014-10-31,1.1388403,0.8864319,0.92926973,0.5897068,0.30219734
2014-11-01,1.1426276,0.8895914,0.93060446,0.59167093,0.30419633
